Scenario,Algorithm,RPS,Latency,Error_Rate
Baseline,round-robin,484.33,16.29,0.0
Baseline,least-connections,590.73,14.26,0.0
Baseline,weighted-round-robin,526.92,15.53,0.0
Baseline,least-response-time,516.49,15.7,0.0
Baseline,q-learning,582.03,14.42,0.0
The_Trap,round-robin,176.68,54.21,0.5
The_Trap,least-connections,173.09,54.94,0.5
The_Trap,weighted-round-robin,175.57,54.48,0.5
The_Trap,least-response-time,176.32,54.15,0.5
The_Trap,q-learning,174.07,54.61,0.5
High_Jitter,round-robin,133.79,68.91,0.0
High_Jitter,least-connections,142.42,62.65,0.0
High_Jitter,weighted-round-robin,149.82,61.45,0.0
High_Jitter,least-response-time,127.73,70.23,0.0
High_Jitter,q-learning,126.95,72.94,0.0
One_Dead,round-robin,531.69,15.55,1.0
One_Dead,least-connections,533.66,15.77,0.5
One_Dead,weighted-round-robin,373.31,22.02,0.0
One_Dead,least-response-time,407.0,19.81,0.0
One_Dead,q-learning,452.01,18.34,1.0
Sloth_Invasion,round-robin,85.66,109.76,0.0
Sloth_Invasion,least-connections,45.68,207.19,0.0
Sloth_Invasion,weighted-round-robin,45.82,208.39,0.0
Sloth_Invasion,least-response-time,45.75,206.96,0.0
Sloth_Invasion,q-learning,45.81,206.97,0.0
Linear_Decay,round-robin,368.35,24.81,0.0
Linear_Decay,least-connections,395.64,23.45,0.0
Linear_Decay,weighted-round-robin,388.8,23.56,0.0
Linear_Decay,least-response-time,389.21,23.72,0.0
Linear_Decay,q-learning,375.55,24.37,0.0
Spiky,round-robin,72.56,130.03,0.0
Spiky,least-connections,64.79,140.05,0.0
Spiky,weighted-round-robin,58.85,154.25,0.0
Spiky,least-response-time,57.9,152.46,0.0
Spiky,q-learning,73.09,126.73,0.0
Heavy_Load,round-robin,19.48,505.91,0.0
Heavy_Load,least-connections,19.42,505.65,0.0
Heavy_Load,weighted-round-robin,19.3,506.6,0.0
Heavy_Load,least-response-time,19.2,508.39,0.0
Heavy_Load,q-learning,19.41,503.33,0.0
Reliability,round-robin,167.71,55.97,0.0
Reliability,least-connections,156.98,60.12,0.0
Reliability,weighted-round-robin,169.43,55.84,0.0
Reliability,least-response-time,169.47,56.14,0.0
Reliability,q-learning,163.32,57.07,0.0
Chaos,round-robin,97.59,96.98,2.0
Chaos,least-connections,114.09,81.77,2.0
Chaos,weighted-round-robin,111.94,84.23,2.0
Chaos,least-response-time,97.77,95.94,1.5
Chaos,q-learning,109.73,85.2,2.0
