Scenario,Algorithm,RPS,Latency,Error_Rate
Baseline,round-robin,352.89,22.15,0.0
Baseline,least-connections,397.11,20.34,0.0
Baseline,weighted-round-robin,489.78,17.31,0.0
Baseline,least-response-time,371.76,22.11,0.0
Baseline,q-learning,425.82,19.79,0.0
The_Trap,round-robin,175.0,54.88,0.5
The_Trap,least-connections,173.71,55.06,0.5
The_Trap,weighted-round-robin,178.75,53.49,0.5
The_Trap,least-response-time,157.46,59.87,0.5
The_Trap,q-learning,174.48,54.75,0.5
High_Jitter,round-robin,125.56,72.6,0.0
High_Jitter,least-connections,145.22,62.57,0.0
High_Jitter,weighted-round-robin,137.92,63.89,0.0
High_Jitter,least-response-time,145.58,63.23,0.0
High_Jitter,q-learning,128.63,71.31,0.0
One_Dead,round-robin,564.6,15.35,0.5
One_Dead,least-connections,404.66,20.4,1.5
One_Dead,weighted-round-robin,321.38,24.2,0.0
One_Dead,least-response-time,447.89,18.9,0.0
One_Dead,q-learning,440.37,18.91,2.0
Sloth_Invasion,round-robin,86.93,108.53,0.0
Sloth_Invasion,least-connections,46.09,206.11,0.0
Sloth_Invasion,weighted-round-robin,45.84,206.99,0.0
Sloth_Invasion,least-response-time,45.84,207.88,0.0
Sloth_Invasion,q-learning,45.63,208.3,0.0
Linear_Decay,round-robin,347.57,26.31,0.0
Linear_Decay,least-connections,341.49,26.46,0.0
Linear_Decay,weighted-round-robin,389.67,23.91,0.0
Linear_Decay,least-response-time,336.06,27.19,0.0
Linear_Decay,q-learning,347.49,26.48,0.0
Spiky,round-robin,66.07,136.36,0.0
Spiky,least-connections,71.62,132.1,0.0
Spiky,weighted-round-robin,71.65,134.32,0.0
Spiky,least-response-time,78.51,117.52,0.0
Spiky,q-learning,59.4,154.61,0.0
Heavy_Load,round-robin,19.33,508.8,0.0
Heavy_Load,least-connections,19.46,507.45,0.0
Heavy_Load,weighted-round-robin,19.47,502.56,0.0
Heavy_Load,least-response-time,19.3,507.45,0.0
Heavy_Load,q-learning,19.45,503.03,0.0
Reliability,round-robin,168.38,56.55,0.0
Reliability,least-connections,166.63,56.63,0.0
Reliability,weighted-round-robin,162.15,57.78,0.0
Reliability,least-response-time,168.25,56.28,0.0
Reliability,q-learning,162.06,57.59,0.0
Chaos,round-robin,107.2,87.69,2.0
Chaos,least-connections,106.84,87.6,1.5
Chaos,weighted-round-robin,103.32,90.64,2.0
Chaos,least-response-time,99.66,93.95,1.5
Chaos,q-learning,95.83,97.38,2.0
Fast_Error,round-robin,171.82,55.16,1.0
Fast_Error,least-connections,172.89,55.55,0.0
Fast_Error,weighted-round-robin,171.58,55.92,0.0
Fast_Error,least-response-time,172.82,55.19,0.5
Fast_Error,q-learning,174.31,55.1,0.0
Glitchy,round-robin,123.19,69.28,0.0
Glitchy,least-connections,109.6,86.15,0.0
Glitchy,weighted-round-robin,112.07,76.98,0.0
Glitchy,least-response-time,110.05,82.99,0.0
Glitchy,q-learning,120.77,69.44,0.0
Safe_Haven,round-robin,703.51,10.63,98.5
Safe_Haven,least-connections,808.13,9.34,97.5
Safe_Haven,weighted-round-robin,857.99,9.13,97.0
Safe_Haven,least-response-time,892.15,8.61,98.0
Safe_Haven,q-learning,1077.27,6.72,100.0
Minefield,round-robin,1040.02,6.89,98.5
Minefield,least-connections,891.71,8.27,98.5
Minefield,weighted-round-robin,1012.71,7.28,94.5
Minefield,least-response-time,779.12,9.68,94.0
Minefield,q-learning,862.32,8.5,90.0
Consistency,round-robin,237.61,38.26,0.0
Consistency,least-connections,229.66,38.98,0.0
Consistency,weighted-round-robin,232.61,39.1,0.0
Consistency,least-response-time,230.81,39.07,0.0
Consistency,q-learning,242.69,37.69,0.0
